poke1,form1,poke2,form2,poke3,form3,poke4,form4,poke5,form5,poke6,form6,label
485,0,785,0,233,0,778,0,892,1,149,0,1
892,1,462,0,645,1,149,0,233,0,778,0,1
145,0,233,0,892,1,645,1,199,1,598,0,1
645,1,788,0,793,0,485,0,149,0,892,1,1
785,0,645,1,892,1,793,0,797,0,887,0,1
149,0,171,0,110,1,823,0,681,0,892,1,1
145,0,892,1,681,0,645,1,233,0,748,0,1
815,0,233,0,149,0,793,0,260,0,892,1,1
892,1,645,1,778,0,812,0,788,0,243,0,1
445,0,145,0,233,0,793,0,892,1,778,0,1
145,0,892,1,445,0,797,0,233,0,748,0,1
645,1,145,0,778,0,815,0,892,1,233,0,1
145,0,260,0,887,0,485,0,892,1,788,0,1
145,0,149,0,233,0,464,0,778,0,892,1,1
145,0,815,0,233,0,892,1,786,0,530,0,1
584,0,881,0,145,0,892,1,788,0,530,0,1
892,1,598,0,793,0,145,0,485,0,450,0,1
793,0,778,0,145,0,892,1,450,0,598,0,1
145,0,212,0,892,1,887,0,233,0,778,0,1
149,0,598,0,788,0,464,0,145,0,892,1,1
488,0,892,1,887,0,748,0,242,0,473,0,1
642,1,892,1,149,0,233,0,131,0,199,1,1
450,0,793,0,812,0,892,1,145,0,598,0,1
815,0,145,0,94,0,464,0,788,0,892,1,1
145,0,892,1,233,0,38,1,645,1,199,1,1
887,0,591,0,730,0,233,0,892,1,642,1,1
892,1,145,0,233,0,815,0,645,1,778,0,1
145,0,892,1,445,0,233,0,485,0,748,0,1
892,1,145,0,793,0,812,0,445,0,778,0,1
892,1,149,0,778,0,748,0,488,0,132,0,1
80,2,645,1,892,1,145,0,787,0,248,0,1
145,0,727,0,896,0,681,0,892,1,793,0,1
887,0,260,0,36,0,462,0,892,1,145,0,1
36,0,362,0,892,1,780,0,847,0,381,0,1
65,0,145,0,445,0,598,0,778,0,892,1,1
445,0,145,0,892,1,233,0,788,0,815,0,1
804,0,892,1,815,0,812,0,450,0,462,0,1
461,0,892,1,445,0,145,0,379,0,146,1,1
815,0,778,0,38,1,892,1,462,0,642,1,1
461,0,145,0,445,0,892,1,379,0,146,1,1
887,0,145,0,892,1,131,0,530,0,815,0,1
260,0,778,0,145,0,233,0,892,1,815,0,1
450,0,530,0,145,0,700,0,892,1,149,0,1
892,1,149,0,778,0,748,0,488,0,132,0,1
145,0,887,0,260,0,892,1,778,0,233,0,1
38,1,145,0,464,0,892,1,815,0,233,0,1
892,1,233,0,145,0,598,0,778,0,445,0,1
450,0,149,0,145,0,892,1,793,0,778,0,1
149,0,700,0,462,0,892,1,464,0,381,0,1
892,1,462,0,145,0,887,0,778,0,815,0,1
880,0,110,1,233,0,892,1,145,0,473,0,1
892,1,645,1,804,0,485,0,38,1,881,0,1
815,0,145,0,233,0,462,0,892,1,464,0,1
887,0,748,0,233,0,892,1,464,0,145,0,1
260,0,145,0,233,0,149,0,778,0,892,1,1
450,0,145,0,598,0,793,0,815,0,892,1,1
887,0,145,0,892,1,260,0,812,0,778,0,1
248,0,530,0,145,0,892,1,786,0,812,0,1
260,0,149,0,892,1,145,0,778,0,376,0,1
145,0,892,1,598,0,464,0,788,0,149,0,1
892,1,778,0,145,0,445,0,598,0,793,0,1
38,1,881,0,892,1,257,0,793,0,149,0,1
815,0,233,0,145,0,598,0,464,0,892,1,1
898,2,145,0,727,0,450,0,598,0,892,1,1
644,0,797,0,450,0,555,2,778,0,892,1,1
898,2,892,1,145,0,257,0,778,0,248,0,1
898,2,892,1,645,1,778,0,145,0,598,0,1
898,2,145,0,892,1,233,0,598,0,788,0,1
644,0,450,0,812,0,892,1,227,0,233,0,1
892,1,898,2,248,0,598,0,788,0,145,0,1
898,2,145,0,892,1,450,0,530,0,598,0,1
250,0,171,0,892,1,233,0,195,0,645,1,1
260,0,6,0,888,0,887,0,145,0,892,1,1
890,0,145,0,815,0,892,1,681,0,645,1,1
890,0,892,1,132,0,376,0,145,0,555,2,1
898,2,598,0,145,0,892,1,248,0,445,0,1
184,0,898,2,772,0,59,0,171,0,892,1,1
890,0,197,0,145,0,892,1,887,0,748,0,1
197,0,898,2,450,0,530,0,145,0,892,1,1
890,0,795,0,479,5,598,0,892,1,445,0,1
888,0,145,0,248,0,227,0,892,1,423,0,1
892,1,248,0,898,2,788,0,598,0,145,0,1
646,1,145,0,892,1,598,0,450,0,530,0,1
898,2,645,1,145,0,861,0,598,0,892,1,1
376,0,646,1,645,1,788,0,892,1,145,0,1
6,0,778,0,892,1,445,0,894,0,898,1,1
888,0,145,0,815,0,530,0,892,1,131,0,1
484,0,892,1,855,0,861,0,730,0,462,0,1
898,2,145,0,892,1,815,0,195,0,645,1,1
898,2,645,1,248,0,145,0,598,0,892,1,1
645,1,788,0,888,0,145,0,892,1,233,0,1
890,0,145,0,815,0,598,0,892,1,645,1,1
382,0,778,0,892,1,145,0,598,0,464,0,1
898,2,445,0,598,0,145,0,892,1,555,2,1
700,0,717,0,59,0,376,0,892,1,537,0,1
894,0,800,1,892,1,788,0,145,0,645,1,1
382,0,892,1,778,0,145,0,598,0,464,0,1
530,0,890,0,450,0,113,0,892,1,131,0,1
898,2,727,0,892,1,642,0,598,0,450,0,1
382,0,145,0,450,0,530,0,892,1,485,0,1
898,2,197,0,892,1,145,0,530,0,537,0,1
382,0,145,0,778,0,555,2,892,1,530,0,1
898,2,248,0,598,0,892,1,145,0,537,0,1
717,0,892,1,113,0,748,0,485,0,132,0,1
898,2,555,2,892,1,145,0,248,0,537,0,1
888,0,131,0,145,0,248,0,197,0,892,1,1
812,0,485,0,145,0,645,1,778,0,892,1,1
547,0,793,0,146,1,376,0,815,0,892,1,1
804,0,892,1,794,0,227,0,248,0,748,0,1
892,1,233,0,145,0,681,0,445,0,485,0,1
881,0,892,1,785,0,645,1,778,0,380,0,1
881,0,145,0,892,1,788,0,530,0,815,0,1
887,0,145,0,892,1,797,0,788,0,881,0,1
145,0,882,0,233,0,894,0,576,0,892,1,1
642,1,892,1,778,0,485,0,812,0,233,0,1
892,1,145,0,681,0,445,0,233,0,748,0,1
445,0,145,0,233,0,887,0,892,1,748,0,1
461,0,445,0,145,0,892,1,798,0,797,0,1
642,1,896,0,530,0,892,1,778,0,145,0,1
145,0,805,0,892,1,466,0,778,0,645,1,1
804,0,892,1,785,0,645,1,778,0,380,0,1
778,0,896,0,145,0,892,1,233,0,530,0,1
149,0,324,0,450,0,233,0,892,1,778,0,1
787,0,645,1,642,1,892,1,797,0,233,0,1
149,0,861,0,571,0,36,0,892,1,579,0,1
149,0,778,0,892,1,485,0,242,0,771,0,1
778,0,892,1,642,1,598,0,233,0,149,0,1
571,0,892,1,145,0,530,0,113,0,149,0,1
468,0,815,0,812,0,892,1,233,0,618,0,1
145,0,530,0,892,1,576,0,778,0,131,0,1
149,0,771,0,113,0,547,0,797,0,892,1,1
858,0,462,0,642,1,233,0,149,0,892,1,1
450,0,798,0,145,0,892,1,233,0,880,0,1
450,0,145,0,892,1,778,0,598,0,199,1,1
892,1,778,0,233,0,882,0,145,0,149,0,1
145,0,892,1,598,0,464,0,778,0,815,0,1
887,0,798,0,145,0,892,1,260,0,778,0,1
145,0,530,0,892,1,785,0,812,0,233,0,1
892,1,145,0,793,0,812,0,445,0,778,0,1
38,1,462,0,778,0,892,1,815,0,642,1,1
145,0,260,0,778,0,815,0,233,0,892,1,1
642,1,892,1,778,0,804,0,233,0,485,0,1
894,0,892,1,887,0,778,0,645,1,38,1,1
796,0,892,1,149,0,464,0,778,0,124,0,1
815,0,892,1,778,0,488,0,208,0,145,0,1
149,0,788,0,894,0,473,0,233,0,892,1,1
113,0,748,0,897,0,450,0,797,0,892,1,1
894,0,892,1,778,0,645,1,233,0,815,0,1
892,1,778,0,145,0,473,0,815,0,812,0,1
645,1,242,0,788,0,145,0,793,0,892,1,1
642,1,233,0,778,0,892,1,149,0,798,0,1
233,0,778,0,892,1,887,0,815,0,587,0,1
815,0,892,1,145,0,233,0,645,1,788,0,1
793,0,488,0,804,0,555,2,778,0,892,1,1
815,0,778,0,892,1,145,0,248,0,645,1,1
609,0,892,1,645,1,145,0,798,0,233,0,1
892,1,145,0,233,0,788,0,645,1,798,0,1
796,0,645,1,778,0,242,0,892,1,797,0,1
892,1,778,0,464,0,145,0,815,0,233,0,1
471,0,778,0,892,1,145,0,530,0,815,0,1
892,1,145,0,681,0,445,0,233,0,748,0,1
149,0,530,0,555,2,145,0,892,1,131,0,1
292,0,645,0,892,1,797,0,149,0,233,0,1
700,0,645,1,130,0,892,1,530,0,199,1,1
59,0,887,0,892,1,468,0,464,0,462,0,1
145,0,892,1,598,0,815,0,473,0,778,0,1
815,0,778,0,584,0,450,0,892,1,798,0,1
303,0,380,0,778,0,184,0,892,1,880,0,1
149,0,861,0,571,0,36,0,892,1,579,0,1
145,0,815,0,887,0,778,0,248,0,892,1,1
591,0,248,0,778,0,815,0,892,1,145,0,1
260,0,145,0,793,0,892,1,815,0,778,0,1
887,0,892,1,748,0,113,0,700,0,797,0,1
248,0,530,0,145,0,778,0,892,1,795,0,1
896,0,892,1,530,0,145,0,233,0,149,0,1
892,1,778,0,145,0,530,0,547,0,485,0,1
145,0,464,0,598,0,788,0,892,1,815,0,1
145,0,892,1,788,0,113,0,450,0,887,0,1
892,1,778,0,233,0,815,0,530,0,145,0,1
892,1,233,0,145,0,778,0,530,0,812,0,1
145,0,892,1,464,0,445,0,778,0,598,0,1
892,1,642,1,149,0,233,0,798,0,485,0,1
887,0,892,1,450,0,598,0,793,0,815,0,1
641,0,373,0,894,0,892,1,233,0,815,0,1
233,0,748,0,445,0,892,1,145,0,882,0,1
894,0,892,1,473,0,149,0,797,0,248,0,1
892,1,36,0,59,0,145,0,530,0,881,0,1
892,1,555,2,149,0,464,0,113,0,748,0,1
145,0,815,0,812,0,778,0,892,1,793,0,1
530,0,248,0,145,0,896,0,892,1,788,0,1
146,1,815,0,700,0,892,1,778,0,530,0,1
804,0,642,1,892,1,645,1,233,0,896,0,1
6,0,530,0,778,0,892,1,598,0,894,0,1
145,0,797,0,778,0,131,0,815,0,892,1,1
260,0,145,0,598,0,149,0,778,0,892,1,1
748,0,113,0,897,0,892,1,450,0,145,0,1
892,1,145,0,793,0,812,0,445,0,778,0,1
892,1,598,0,145,0,464,0,815,0,788,0,1
197,0,887,0,145,0,892,1,793,0,598,0,1
815,0,462,0,882,0,145,0,896,0,892,1,1
892,1,233,0,149,0,485,0,145,0,292,0,1
450,0,145,0,598,0,793,0,892,1,778,0,1
887,0,730,0,244,0,812,0,642,1,892,1,1
292,0,703,0,805,0,145,1,887,0,892,1,1
815,0,896,0,778,0,892,1,530,0,145,0,1
892,1,882,0,145,0,598,0,233,0,645,1,1
184,0,892,1,145,0,660,0,124,0,815,0,1
248,0,645,1,892,1,730,0,145,0,598,0,1
450,0,113,0,145,0,892,1,788,0,887,0,1
450,0,145,0,598,0,793,0,892,1,778,0,1
894,0,896,0,778,0,892,1,149,0,488,0,1
149,0,778,0,815,0,530,0,892,1,462,0,1
896,0,488,0,778,0,892,1,882,0,145,0,1
146,1,892,1,793,0,778,0,798,0,887,0,1
145,0,892,1,812,0,555,2,149,0,530,0,1
637,0,145,0,530,0,855,0,861,0,892,1,1
892,1,149,0,812,0,555,2,530,0,145,0,1
450,0,145,0,598,0,793,0,892,1,887,0,1
450,0,880,0,248,0,748,0,145,0,892,1,1
887,0,892,1,485,0,645,1,233,0,145,0,1
892,1,145,0,793,0,812,0,815,0,778,0,1
881,0,815,0,788,0,233,0,892,1,778,0,1
145,0,233,0,797,0,815,0,645,1,892,1,1
880,0,858,0,892,1,407,0,861,0,537,0,1
131,0,691,0,700,0,553,0,892,1,479,3,1
707,0,892,1,855,0,479,5,880,0,591,0,1
94,0,730,0,823,0,660,0,479,5,892,1,1
892,1,171,0,227,0,553,0,143,0,94,0,1
881,0,892,1,584,0,706,0,65,0,59,0,1
880,0,892,1,36,0,745,2,730,0,598,0,1
637,0,892,1,882,0,700,0,222,1,660,0,1
94,0,598,0,660,0,36,0,892,1,880,0,1
6,0,892,1,38,1,208,0,464,0,474,0,1
880,0,892,1,681,0,184,0,94,0,474,0,1
227,0,94,0,892,1,479,3,660,0,700,0,1
545,0,38,1,892,1,479,1,715,0,184,0,1
94,0,880,0,660,0,892,1,637,0,227,0,1
880,0,730,0,892,1,660,0,681,0,143,0,1
537,0,892,1,82,0,479,5,45,0,880,0,1
635,0,598,0,660,0,730,0,479,3,892,1,1
880,0,892,1,479,5,38,1,660,0,143,0,1
880,0,892,1,474,0,660,0,700,0,222,1,1
526,0,660,0,880,0,730,0,892,1,143,0,1
880,0,892,1,227,0,660,0,143,0,38,1,1
94,0,143,0,892,1,730,0,880,0,660,0,1
844,0,745,0,700,0,892,1,823,0,94,0,1
465,0,242,0,59,0,36,0,892,1,880,0,1
892,1,6,0,143,0,110,1,464,0,598,0,1
880,0,94,0,892,1,707,0,660,0,745,2,1
892,1,730,0,880,0,6,0,707,0,576,0,1
880,0,36,0,855,0,892,1,143,0,707,0,1
36,0,222,1,474,0,637,0,881,0,892,1,1
94,0,892,1,464,0,598,0,882,0,479,5,1
892,1,660,0,474,0,880,0,38,1,663,0,1
94,0,479,1,892,1,110,1,242,0,105,1,1
584,0,881,0,663,0,700,0,892,1,94,0,1
715,0,892,1,143,0,94,0,212,0,880,0,1
715,0,473,0,479,5,598,0,700,0,892,1,1
861,0,892,1,479,5,591,0,184,0,660,0,1
94,0,892,1,437,0,730,0,880,0,660,0,1
880,0,823,0,94,0,131,0,861,0,892,1,1
892,1,637,0,628,0,660,0,861,0,36,0,1
584,0,881,0,537,0,892,1,663,0,36,0,1
6,0,38,1,881,0,892,1,36,0,855,0,1
730,0,591,0,892,1,94,0,143,0,479,5,1
38,1,881,0,880,0,892,1,637,0,730,0,1
880,0,730,0,892,1,36,0,584,0,598,0,1
691,0,823,0,881,0,637,0,892,1,38,1,1
892,1,82,0,858,0,59,0,473,0,635,0,1
36,0,855,0,892,1,479,5,591,0,143,0,1
212,0,892,1,105,1,474,0,880,0,700,0,1
880,0,892,1,94,0,36,0,730,0,598,0,1
36,0,855,0,880,0,892,1,464,0,882,0,1
45,0,36,0,892,1,880,0,730,0,143,0,1
59,0,892,1,82,0,143,0,858,0,473,0,1
38,1,880,0,660,0,730,0,892,1,94,0,1
880,0,474,0,892,1,660,0,227,0,36,0,1
892,1,660,0,681,0,861,0,242,0,880,0,1
880,0,660,0,94,0,861,0,892,1,38,1,1
709,0,105,0,730,0,880,0,892,1,881,0,1
635,0,681,0,892,1,545,0,861,0,748,0,1
143,0,479,0,38,1,598,0,660,0,892,1,1
660,0,730,0,892,1,823,0,681,0,715,0,1
38,1,474,0,892,1,94,0,882,0,82,0,1
823,0,171,0,892,1,724,0,474,0,222,1,1
880,0,892,1,660,0,730,0,576,0,474,0,1
26,1,861,0,474,0,545,0,818,0,892,1,1
94,0,861,0,637,0,730,0,892,1,660,0,1
479,5,407,0,858,0,660,0,892,1,94,0,1
94,0,861,0,474,0,637,0,892,1,660,0,1
584,0,38,1,880,0,660,0,730,0,892,1,1
639,0,880,0,892,1,706,0,537,0,591,0,1
892,1,110,1,143,0,635,0,724,0,758,0,1
38,1,892,1,730,0,6,0,222,1,242,0,1
892,1,880,0,356,0,730,0,474,0,639,0,1
892,1,38,1,730,0,880,0,660,0,6,0,1
6,0,36,0,94,0,892,1,880,0,464,0,1
892,1,6,0,880,0,750,0,707,0,44,0,1
45,0,861,0,36,0,113,0,892,1,12,0,1
553,0,724,0,700,0,479,5,212,0,892,1,1
94,0,637,0,880,0,892,1,38,1,537,0,1
880,0,423,0,892,1,637,0,94,0,184,0,1
473,0,637,0,184,0,474,0,892,1,880,0,1
880,0,143,0,892,1,660,0,94,0,730,0,1
6,0,880,0,892,1,818,0,700,0,598,0,1
715,0,681,0,892,1,131,0,591,0,880,0,1
6,0,730,0,880,0,660,0,591,0,892,1,1
537,0,880,0,772,0,632,0,892,1,6,0,1
700,0,479,5,892,1,537,0,474,0,660,0,1
6,0,814,0,2,0,884,0,555,2,892,1,1
730,0,660,0,823,0,706,0,579,0,892,1,1
892,1,598,0,882,0,94,0,36,0,464,0,1
875,0,892,1,113,0,715,0,591,0,105,1,1
880,0,892,1,474,0,222,1,700,0,94,0,1
880,0,861,0,730,0,660,0,858,0,892,1,1
6,0,892,1,700,0,598,0,660,0,880,0,1
730,0,59,0,707,0,576,0,892,1,880,0,1
814,0,892,1,861,0,38,1,880,0,579,0,1
596,0,474,0,892,1,639,0,880,0,555,2,1
242,0,880,0,591,0,38,1,545,0,892,1,1
880,0,222,1,591,0,892,1,537,0,242,0,1
715,0,681,0,660,0,892,1,764,0,479,5,1
94,0,861,0,880,0,892,1,242,0,465,0,1
880,0,730,0,892,1,660,0,143,0,222,1,1
892,1,880,0,38,1,6,0,36,0,660,0,1
730,0,628,0,635,0,660,0,849,1,892,1,1
861,0,479,5,635,0,681,0,892,1,591,0,1
855,0,38,1,880,0,143,0,700,0,892,1,1
36,0,545,0,823,0,892,1,576,0,131,0,1
584,0,880,0,663,0,110,1,537,0,892,1,1
6,0,892,1,591,0,94,0,474,0,36,0,1
892,1,880,0,730,0,681,0,660,0,143,0,1
880,0,730,0,892,1,464,0,598,0,36,0,1
635,0,681,0,892,1,660,0,748,0,242,0,1
855,0,707,0,880,0,892,1,36,0,143,0,1
892,1,882,0,660,0,598,0,36,0,222,1,1
474,0,36,0,94,0,222,1,880,0,892,1,1
479,4,612,0,861,0,892,1,772,0,545,0,1
545,0,892,1,584,0,706,0,855,0,73,0,1
660,0,892,1,855,0,464,0,36,0,823,0,1
880,0,479,5,892,1,730,0,591,0,660,0,1
508,0,526,0,730,0,681,0,892,1,880,0,1
892,1,660,0,880,0,184,0,591,0,6,0,1
892,1,730,0,858,0,660,0,227,0,474,0,1
94,0,660,0,880,0,892,1,730,0,598,0,1
82,0,892,1,282,0,473,0,6,0,591,0,1
94,0,38,1,776,0,880,0,730,0,892,1,1
681,0,892,1,730,0,143,0,660,0,45,0,1
869,0,706,0,292,0,730,0,464,0,892,1,1
208,0,880,0,591,0,892,1,464,0,242,0,1
474,0,660,0,880,0,892,1,110,1,730,0,1
6,0,892,1,660,0,880,0,700,0,730,0,1
212,0,892,1,94,0,715,0,143,0,464,0,1
184,0,660,0,700,0,892,1,80,2,94,0,1
892,1,82,0,730,0,184,0,660,0,534,0,1
869,0,94,0,537,0,222,1,865,0,892,1,1
6,0,94,0,143,0,464,0,591,0,892,1,1
226,0,537,0,823,0,880,0,36,0,892,1,1
892,1,38,1,715,0,591,0,242,0,750,0,1
94,0,630,0,195,0,113,0,892,1,598,0,1
38,1,184,0,474,0,880,0,892,1,94,0,1
59,0,892,1,462,0,130,0,778,0,233,0,1
880,0,468,0,892,1,530,0,233,0,778,0,1
892,1,778,0,479,1,130,0,815,0,468,0,1
462,0,233,0,450,0,468,0,892,1,887,0,1
815,0,812,0,233,0,663,0,892,1,887,0,1
233,0,212,0,462,0,880,0,892,1,530,0,1
815,0,778,0,892,1,547,0,233,0,468,0,1
778,0,143,0,815,0,887,0,468,0,892,1,1
450,0,233,0,462,0,468,0,892,1,887,0,1
815,0,778,0,892,1,450,0,468,0,233,0,1
468,0,450,0,233,0,892,1,887,0,530,0,1
892,1,778,0,468,0,815,0,450,0,547,0,1
815,0,812,0,887,0,468,0,892,1,861,0,1
887,0,468,0,892,1,815,0,479,1,233,0,1
815,0,880,0,778,0,468,0,892,1,184,0,1
59,0,887,0,462,0,892,1,130,0,450,0,1
815,0,233,0,892,1,468,0,778,0,887,0,1
892,1,450,0,462,0,887,0,468,0,812,0,1
861,0,815,0,579,0,892,1,143,0,880,0,1
630,0,36,0,778,0,479,5,892,1,880,0,1
892,1,815,0,462,0,212,0,468,0,537,0,1
815,0,892,1,887,0,778,0,462,0,132,0,1
450,0,130,0,462,0,812,0,892,1,778,0,1
887,0,880,0,892,1,233,0,468,0,450,0,1
233,0,105,1,730,0,812,0,880,0,892,1,1
6,0,892,1,812,0,778,0,530,0,233,0,1
815,0,233,0,681,0,892,1,778,0,468,0,1
815,0,778,0,812,0,479,5,233,0,892,1,1
815,0,700,0,130,0,660,0,892,1,468,0,1
815,0,468,0,892,1,778,0,233,0,576,0,1
233,0,887,0,892,1,815,0,468,0,778,0,1
184,0,530,0,892,1,887,0,479,5,468,0,1
892,1,815,0,778,0,468,0,450,0,233,0,1
706,0,892,1,462,0,468,0,730,0,778,0,1
468,0,892,1,212,0,880,0,233,0,778,0,1
233,0,778,0,526,0,892,1,815,0,468,0,1
468,0,233,0,892,1,882,0,880,0,576,0,1
887,0,815,0,778,0,892,1,462,0,233,0,1
184,0,880,0,892,1,468,0,815,0,884,0,1
887,0,479,5,892,1,858,0,233,0,778,0,1
468,0,892,1,880,0,815,0,233,0,130,0,1
450,0,130,0,892,1,815,0,113,0,468,0,1
871,0,26,1,892,1,59,0,468,0,233,0,1
887,0,815,0,892,1,248,0,233,0,462,0,1
880,0,450,0,233,0,468,0,462,0,892,1,1
892,1,778,0,462,0,233,0,59,0,468,0,1
849,0,892,1,887,0,468,0,59,0,233,0,1
479,1,6,0,468,0,700,0,892,1,660,0,1
450,0,130,0,812,0,892,1,143,0,880,0,1
468,0,815,0,450,0,233,0,892,1,861,0,1
892,1,861,0,880,0,212,0,815,0,131,0,1
233,0,450,0,892,1,730,0,212,0,815,0,1
584,0,887,0,880,0,212,0,778,0,892,1,1
59,0,892,1,778,0,628,0,764,0,233,0,1
815,0,892,1,450,0,233,0,887,0,468,0,1
450,0,815,0,233,0,892,1,812,0,880,0,1
450,0,468,0,479,5,892,1,778,0,812,0,1
450,0,887,0,468,0,815,0,233,0,892,1,1
815,0,450,0,778,0,233,0,468,0,892,1,1
892,1,462,0,468,0,778,0,59,0,730,0,1
3,0,324,0,468,0,892,1,778,0,464,0,1
227,0,892,1,815,0,342,0,468,0,778,0,1
